timestamp,veh_speed_m_s,engine_speed_rpm,engine_load_pct,throttle_pct
2024-01-01T08:00:00Z,8.725,1245.2,38.1,22.1
2024-01-01T08:00:01Z,9.287,1442.2,38.8,37.5
2024-01-01T08:00:02Z,9.216,1258.7,34.0,8.1
2024-01-01T08:00:03Z,8.594,1293.0,37.6,17.7
2024-01-01T08:00:04Z,8.881,1322.6,50.0,25.8
2024-01-01T08:00:05Z,7.104,1198.5,31.7,25.9
2024-01-01T08:00:06Z,4.909,1073.5,20.4,12.7
2024-01-01T08:00:07Z,3.123,960.1,31.7,10.3
2024-01-01T08:00:08Z,2.018,878.8,31.2,10.9
2024-01-01T08:00:09Z,0.000,833.5,26.1,9.5
2024-01-01T08:00:10Z,0.000,740.3,18.1,8.2
2024-01-01T08:00:11Z,0.000,818.4,20.0,8.9
2024-01-01T08:00:12Z,0.000,748.0,25.0,7.5
2024-01-01T08:00:13Z,0.000,841.5,22.5,8.9
2024-01-01T08:00:14Z,0.000,844.4,10.3,3.3
2024-01-01T08:00:15Z,0.000,801.8,23.7,7.4
2024-01-01T08:00:16Z,0.000,849.7,18.8,14.9
2024-01-01T08:00:17Z,0.000,801.0,22.1,6.3
2024-01-01T08:00:18Z,0.000,804.9,18.1,9.0
2024-01-01T08:00:19Z,0.000,846.0,19.2,8.7
2024-01-01T08:00:20Z,0.000,779.3,17.3,9.9
2024-01-01T08:00:21Z,0.000,813.4,22.9,9.2
2024-01-01T08:00:22Z,0.000,815.6,15.4,8.2
2024-01-01T08:00:23Z,0.000,772.1,27.8,10.8
2024-01-01T08:00:24Z,0.000,779.2,18.3,8.6
2024-01-01T08:00:25Z,0.000,810.6,20.2,13.0
2024-01-01T08:00:26Z,0.000,839.6,17.1,9.9
2024-01-01T08:00:27Z,0.704,927.5,28.9,22.7
2024-01-01T08:00:28Z,2.229,1183.5,43.7,54.4
2024-01-01T08:00:29Z,2.695,1043.9,28.3,23.2
2024-01-01T08:00:30Z,2.695,999.2,19.9,17.4
2024-01-01T08:00:31Z,3.590,1110.2,39.2,29.2
2024-01-01T08:00:32Z,3.619,959.6,19.9,17.0
2024-01-01T08:00:33Z,3.720,1038.0,34.3,9.3
2024-01-01T08:00:34Z,4.773,1244.1,40.4,41.6
2024-01-01T08:00:35Z,5.355,1194.0,37.7,31.7
2024-01-01T08:00:36Z,6.082,1291.7,42.3,26.6
2024-01-01T08:00:37Z,6.058,1128.7,38.0,21.1
2024-01-01T08:00:38Z,5.615,1084.4,36.3,12.9
2024-01-01T08:00:39Z,5.193,1138.0,38.7,21.4
2024-01-01T08:00:40Z,5.936,1274.8,45.7,33.1
2024-01-01T08:00:41Z,4.316,1035.5,20.8,13.7
2024-01-01T08:00:42Z,3.607,1002.4,27.0,12.3
2024-01-01T08:00:43Z,2.424,945.7,25.1,23.2
2024-01-01T08:00:44Z,1.345,872.9,21.5,16.0
2024-01-01T08:00:45Z,0.020,733.1,22.1,13.4
2024-01-01T08:00:46Z,0.018,783.1,19.0,9.3
2024-01-01T08:00:47Z,0.018,780.3,14.5,12.2
2024-01-01T08:00:48Z,0.018,879.5,21.6,9.9
2024-01-01T08:00:49Z,0.168,807.0,22.8,13.5
2024-01-01T08:00:50Z,0.168,815.5,27.8,8.3
2024-01-01T08:00:51Z,3.060,1289.6,74.1,84.7
2024-01-01T08:00:52Z,4.428,1256.1,59.8,48.8
